NO,프로젝트 정보,,,,,,,,,행사 정보,,,
118,컨벤션 사업부,컨벤션 2팀 ,민주주의 정상회의 본회의(화상) ,2023,"2023-03-29, 2023-03-29","2023-03-29, 2023-03-29",외교부(MOFA),국제회의,기타,외교부(MOFA),외교부(MOFA),,
119,E&E 사업부,이벤트&엑스포 2팀,제50주년 상공의날 기념 WAVE Online Show Case,2023,2023-03-17,2023-03-17,대한상공회의소(KCCI),이벤트,문화/예술/디자인/콘텐츠/영상/광고,대한상공회의소(KCCI),대한상공회의소(KCCI),,
120,E&E 사업부,전시 1팀,KASS 홍보관 구축 (청주공항),2022,2022-06-03,2022-12-31,국토교통부(MOLIT),전시홍보관,운송장비/모빌리티,국토교통부(MOLIT),국토교통부(MOLIT),,
121,컨벤션 사업부,컨벤션 2팀 ,제9차 세계태양광총회(WCPEC-9) 유치,2022,2022-05-20,2022-12-31,한국태양광발전학회(KPVS),유치용역,에너지/환경,"한국관광공사(KTO), 대전관광공사(DJTO)","한국관광공사(KTO), 대전관광공사(DJTO)",,
122,E&E 사업부,이벤트&엑스포 2팀,2022년 정부혁신성과 국민평가회,2022,2022-12-16,2022-12-16,행정안전부(MOIS),이벤트,정책/행정/국방/소방/안전,행정안전부(MOIS),행정안전부(MOIS),,
123,E&E 사업부,전시 1팀,대한민국 관광기념품 공모전 및 박람회,2022,2022-12-02,2022-12-03,한국관광공사(KTO),전시,생활/가정/선물/취미,문화체육관광부(MCST),한국관광공사(KTO),,
124,E&E 사업부,이벤트&엑스포 2팀,제1회 한-사우디 주택협력 포럼,2022,2022-11-29,2022-11-29,한국토지주택공사(LH),기타회의,건설/건축/인테리어,"국토교통부(MOLIT), 사우디아라비아 도시농촌주택부","주택도시보증공사(HUG), 한국주택협회(KHA), 한국토지주택공사(LH)",,
125,컨벤션 사업부,컨벤션 2본부,2022 글로벌 코리아 포럼,2022,2022-11-23,2022-11-25,대외경제정책연구원(KEIP),"기타회의, 전시",인문/사회/경제/역사/법/남북,경제·인문사회연구회(NRC),대외경제정책연구원(KEIP),,
126,E&E 사업부,이벤트&엑스포 1팀 ,SCEWC 2022 한국관(Korea Pavilion),2022,2022-11-15,2022-11-17,킨텍스(KINTEX),전시홍보관,전자/정보통신/방송장비/스마트,바르셀로나시청,Fira Barcelona,,
127,컨벤션 사업부,컨벤션 2팀 ,2022 콘텐츠 IP 산업전,2022,2022-11-10,2022-11-12,한국콘텐츠진흥원(KOCCA),전시,문화/예술/디자인/콘텐츠/영상/광고,문화체육관광부(MCST),한국콘텐츠진흥원(KOCCA),,
128,컨벤션 사업부,컨벤션 2팀 ,KOREA MICE EXPO 2022,2022,2022-11-09,2022-11-10,한국관광공사(KTO),"기타회의, 전시",관광/레저/스포츠,문화체육관광부(MCST),"인천관광공사(ITO), 한국관광공사(KTO)",,
129,컨벤션 사업부,컨벤션 3팀,2022 스마트국토엑스포 ,2022,2022-11-02,2022-11-04,한국국토정보공사(LX),"국제회의, 전시",전자/정보통신/방송장비/스마트,국토교통부(MOLIT),"한국공간정보산업협동조합, 한국공간정보산업협회(KASM), 한국국토정보공사(LX), 한국토지주택공사(LH), 공간정보산업진흥원(SpaceN), 공간정보품질관리원(SIQMS), 국토연구원(KRIHS)",,
130,컨벤션 사업부,컨벤션 2팀 ,2022 디지털네이션스 장관회의,2022,2022-11-01,2022-11-03,행정안전부(MOIS),국제회의,전자/정보통신/방송장비/스마트,행정안전부(MOIS),한국지능정보사회진흥원(NIA),,
131,컨벤션 사업부,컨벤션 1팀,2022 제주 IUCN리더스포럼,2022,"2022-10-13, 2022-10-13","2022-10-15, 2022-10-15",제주특별자치도,국제회의,에너지/환경,"제주특별자치도, 환경부(ME), 세계자연보전연맹(IUCN)","제주특별자치도, 환경부(ME), 세계자연보전연맹(IUCN)",,
132,컨벤션 사업부,컨벤션 5팀,2022 대전세계지방정부연합 총회(UCLG),2022,2022-10-10,2022-10-14,2022 대전세계지방정부연합총회 조직위원회,국제회의,정책/행정/국방/소방/안전,"UCLG 세계사무국, 대전광역시",2022 대전세계지방정부연합총회 조직위원회,,
133,E&E 사업부,이벤트&엑스포 2팀,DDP 시민참여 문화행사,2022,"2022-05-05, 2022-09-20","2022-05-15, 2022-10-09",서울디자인재단,이벤트,문화/예술/디자인/콘텐츠/영상/광고,서울디자인재단,서울디자인재단,,
134,E&E 사업부,전시 1팀,2020-2021 글로벌 코리아 박람회  웹사이트 유지 보수,2022,2022-04-06,2022-10-05,경제·인문사회연구회(NRC),기타,인문/사회/경제/역사/법/남북,경제·인문사회연구회(NRC),경제·인문사회연구회(NRC),,
135,컨벤션 사업부,컨벤션 2팀 ,제17회 평화와 번영을 위한 제주포럼 ,2022,"2022-09-14, 2022-09-14","2022-09-16, 2022-09-16",제주평화연구원(JPI),국제회의,인문/사회/경제/역사/법/남북,"제주특별자치도, 제주평화연구원(JPI), 국제평화재단(IPF), 동아시아재단(KEAF)","제주특별자치도, 제주평화연구원(JPI), 국제평화재단(IPF), 동아시아재단(KEAF)",,
136,E&E 사업부,이벤트&엑스포 2팀,제1차 국가데이터정책위원회 개최,2022,2022-09-14,2022-09-14,과학기술정보통신부(MSIT),기타회의,정책/행정/국방/소방/안전,과학기술정보통신부(MSIT),과학기술정보통신부(MSIT),,
137,E&E 사업부,이벤트&엑스포 1팀 ,푸른하늘의날 기념행사,2022,"2022-09-07, 2022-09-07","2022-09-07, 2022-09-07",환경부(ME),이벤트,에너지/환경,환경부(ME),환경부(ME),,
138,E&E 사업부,이벤트&엑스포 1팀 ,제6회 월드 스마트시티 엑스포(WSCE 2022),2022,2022-08-31,2022-09-02,한국토지주택공사(LH),"국제회의, 전시",전자/정보통신/방송장비/스마트,"과학기술정보통신부(MSIT), 국토교통부(MOLIT)","킨텍스(KINTEX), 한국수자원공사(K-water), 한국토지주택공사(LH)",,
139,컨벤션 사업부,컨벤션 1팀,2022 국제방송영상마켓(BCWW 2022),2022,"2022-08-31, 2022-08-31","2022-09-02, 2022-09-02",한국콘텐츠진흥원(KOCCA),"국제회의, 전시",문화/예술/디자인/콘텐츠/영상/광고,문화체육관광부(MCST),한국콘텐츠진흥원(KOCCA),,
140,E&E 사업부,놀이터사업팀,중랑구 공공형 실내놀이터 신체놀이형 놀이구조물 설계 및 제작 사업,2022,2022-01-25,2022-08-15,중랑구,공간사업(놀이터),건설/건축/인테리어,중랑구,중랑구,,
141,E&E 사업부,놀이터사업팀,씽크빅 홍보 역사관 설립 및 전시물 제작∙설치,2022,2021-08-20,2022-06-30,웅진씽크빅,전시홍보관,기타,웅진씽크빅,웅진씽크빅,,
142,E&E 사업부,이벤트&엑스포 2팀,제5회 전자정부의 날,2022,2022-06-23,2022-06-23,한국지능정보사회진흥원(NIA),이벤트,전자/정보통신/방송장비/스마트,행정안전부(MOIS),한국지능정보사회진흥원(NIA),,
143,E&E 사업부,전시 1팀,KASS 홍보관 구축,2022,2022-04-20,2022-06-18,국토교통부(MOLIT),전시홍보관,운송장비/모빌리티,국토교통부(MOLIT),국토교통부(MOLIT),,
144,E&E 사업부,전시 1팀,"NextRise 2022, Seoul ",2022,2022-06-16,2022-06-17,한국산업은행(KDB),"기타회의, 전시",창업/취업/스타트업/비즈니스,"한국무역협회(KITA), 한국벤처캐피탈협회(KVCA), 한국산업은행(KDB), 국가과학기술연구회(NST), 벤처기업협회(KOVA)","한국무역협회(KITA), 한국벤처캐피탈협회(KVCA), 한국산업은행(KDB), 국가과학기술연구회(NST), 벤처기업협회(KOVA)",,
145,E&E 사업부,전시 1팀,"NextRise 2022, Seoul (Globalization Partners 독립부스 설치)",2022,2022-06-16,2022-06-17,GLOBALIZATION PARTNERS SINGAPORE PTE LTD,전시홍보관,창업/취업/스타트업/비즈니스,GLOBALIZATION PARTNERS SINGAPORE PTE LTD,GLOBALIZATION PARTNERS SINGAPORE PTE LTD,,
146,E&E 사업부,전시 1팀,"NextRise 2022, Seoul (KT&G 상상플래닛 독립부스 설치)",2022,2022-06-16,2022-06-17,네스트앤드(NESTAND),전시홍보관,창업/취업/스타트업/비즈니스,네스트앤드(NESTAND),네스트앤드(NESTAND),,
147,E&E 사업부,전시 1팀,"NextRise 2022, Seoul (리디 독립부스 설치)",2022,2022-06-16,2022-06-17,리디(RIDI),전시홍보관,창업/취업/스타트업/비즈니스,리디(RIDI),리디(RIDI),,
148,E&E 사업부,전시 1팀,"NextRise 2022, Seoul (직방 독립부스 설치)",2022,2022-06-16,2022-06-17,직방,전시홍보관,창업/취업/스타트업/비즈니스,직방,직방,,
149,E&E 사업부,전시 1팀,"NextRise 2022, Seoul (관광벤처기업 홍보관 그래픽디자인 및 가구임차)",2022,2022-06-16,2022-06-17,한국관광공사(KTO),전시홍보관,창업/취업/스타트업/비즈니스,한국관광공사(KTO),한국관광공사(KTO),,
150,E&E 사업부,전시 1팀,"NextRise 2022, Seoul (한국수자원공사 독립부스 설치)",2022,2022-06-16,2022-06-17,한국수자원공사(K-water),전시홍보관,창업/취업/스타트업/비즈니스,한국수자원공사(K-water),한국수자원공사(K-water),,
151,E&E 사업부,전시 1팀,KASS 홍보 컨텐츠 제작,2022,2022-04-07,2022-05-06,국토교통과학기술진흥원(KAIA),전시홍보관,운송장비/모빌리티,국토교통과학기술진흥원(KAIA),국토교통과학기술진흥원(KAIA),,
152,컨벤션 사업부,컨벤션 1팀,2022 평창평화포럼(PPF 2022),2022,"2022-02-22, 2022-02-22","2022-02-24, 2022-02-24",2018평창기념재단,국제회의,인문/사회/경제/역사/법/남북,"평창군, 한국국제협력단(KOICA), 강원특별자치도",2018평창기념재단,,
153,E&E 사업부,놀이터사업팀,도봉구 청사 공공형 실내놀이터,2021,2020-12-09,2021-12-22,도봉구,공간사업(놀이터),건설/건축/인테리어,도봉구,도봉구,,
154,컨벤션 사업부,컨벤션 2팀 ,제7차 열린정부파트너쉽(OGP) 글로벌서밋,2021,"2021-12-15, 2021-12-15","2021-12-17, 2021-12-17",행정안전부(MOIS),국제회의,정책/행정/국방/소방/안전,"OGP 사무국, 행정안전부(MOIS), 대한민국 정부","OGP 사무국, 행정안전부(MOIS), 대한민국 정부",,
155,E&E 사업부,이벤트&엑스포 1팀,UN SDGs와 남북 과학기술 협력 전망 국제 컨퍼런스,2021,2021-12-09,2021-12-09,통일과학기술연구협의회,기타회의,정책/행정/국방/소방/안전,통일과학기술연구협의회,통일과학기술연구협의회,,
156,컨벤션 사업부,컨벤션 1팀,제22차 한중일 환경장관회의(TEMM 22),2021,"2021-12-07, 2021-12-07","2021-12-07, 2021-12-07",환경부(ME),국제회의,에너지/환경,환경부(ME),환경부(ME),,
157,E&E 사업부,전시 1팀,2021 글로벌 코리아 박람회,2021,"2021-11-15, 2021-11-15","2021-11-17, 2021-11-17",대외경제정책연구원(KEIP),"기타회의, 전시",인문/사회/경제/역사/법/남북,"경제·인문사회연구회(NRC), 대외경제정책연구원(KEIP)",경제·인문사회연구회(NRC),,
158,E&E 사업부,전시 1팀,KDI국제정책대학원 부스설치(GKC2021),2021,"2021-11-15, 2021-11-15","2021-11-17, 2021-11-17",한국개발연구원국제정책대학원대학교(KDI School),"기타회의, 전시",인문/사회/경제/역사/법/남북,한국개발연구원국제정책대학원대학교(KDI School),한국개발연구원국제정책대학원대학교(KDI School),,
159,E&E 사업부,전시 1팀,한국장학재단 부스설치(GKC2021),2021,2021-11-15,2021-11-17,한국장학재단(KOSAF),"기타회의, 전시",인문/사회/경제/역사/법/남북,한국장학재단(KOSAF),한국장학재단(KOSAF),,
160,E&E 사업부,전시 1팀,글로벌지식협력단지 부스설치(GKC2021),2021,"2021-11-15, 2021-11-15","2021-11-17, 2021-11-17",글로벌지식협력단지,"기타회의, 전시",인문/사회/경제/역사/법/남북,글로벌지식협력단지,글로벌지식협력단지,,
161,컨벤션 사업부,컨벤션 4팀,2021 빛가람국제전력기술엑스포(BIXPO 2021),2021,"2021-11-10, 2021-11-10","2021-11-12, 2021-11-12",한국전력공사(KEPCO),"국제회의, 전시",에너지/환경,한국전력공사(KEPCO),한국전력공사(KEPCO),,
162,E&E 사업부,전시 1팀,제3회 대한민국 정부혁신박람회 ,2021,"2021-11-03, 2021-11-03","2021-11-06, 2021-11-06",행정안전부(MOIS),"기타회의, 전시",정책/행정/국방/소방/안전,대한민국 정부,행정안전부(MOIS),,
163,E&E 사업부,이벤트&엑스포 1팀,2021함양산삼항노화엑스포 종합실행계획 수립 및 업무,2021,2021-09-10,2021-10-10,함양산삼항노화엑스포조직위원회,엑스포,보건/의료/광학/건강,"함양군, 함양산삼항노화엑스포조직위원회, 경상남도","함양군, 함양산삼항노화엑스포조직위원회, 경상남도",,
164,E&E 사업부,이벤트&엑스포 1팀,2021함양산삼항노화엑스포 함양군 홍보관 설치,2021,2021-09-10,2021-10-10,함양군,전시홍보관,보건/의료/광학/건강,"함양군, 함양산삼항노화엑스포조직위원회, 경상남도","함양군, 함양산삼항노화엑스포조직위원회, 경상남도",,
165,E&E 사업부,이벤트&엑스포 1팀,거함산 항노화산업 및 산양삼 특구전시 설치,2021,2021-09-10,2021-10-10,함양군,"전시홍보관, 엑스포",보건/의료/광학/건강,"함양군, 함양산삼항노화엑스포조직위원회, 경상남도","함양군, 함양산삼항노화엑스포조직위원회, 경상남도",,
166,E&E 사업부,이벤트&엑스포 1팀,함양산삼항노화엑스포 거함산 항노화산업 홍보부스 제작설치 (거창군),2021,2021-09-10,2021-10-10,거창군,"전시홍보관, 엑스포",보건/의료/광학/건강,"함양군, 함양산삼항노화엑스포조직위원회, 경상남도","함양군, 함양산삼항노화엑스포조직위원회, 경상남도",,
167,E&E 사업부,이벤트&엑스포 1팀,2021년 함양산삼항노화엑스포 거함산항노화산업 전시 부스 설치 용역 (산청군),2021,2021-09-10,2021-10-10,산청군,"전시홍보관, 엑스포",보건/의료/광학/건강,"함양군, 함양산삼항노화엑스포조직위원회, 경상남도","함양군, 함양산삼항노화엑스포조직위원회, 경상남도",,
168,E&E 사업부,전시 1팀,2021 대한민국 농업박람회,2021,2021-09-08,2021-09-11,농림수산식품교육문화정보원(EPIS),"국제회의, 전시",농수축산/식음료,농림축산식품부(MAFRA),농림수산식품교육문화정보원(EPIS),,
169,E&E 사업부,이벤트&엑스포 2팀,제5회 월드 스마트시티 엑스포(WSCE 2021),2021,2021-09-08,2021-09-10,한국토지주택공사(LH),"국제회의, 전시",전자/정보통신/방송장비/스마트,"과학기술정보통신부(MSIT), 국토교통부(MOLIT)","킨텍스(KINTEX), 한국수자원공사(K-water), 한국토지주택공사(LH)",,
170,컨벤션 사업부,컨벤션 1팀,2021 국제방송영상마켓(BCWW),2021,"2021-09-06, 2021-09-06","2021-09-10, 2021-09-10",한국콘텐츠진흥원(KOCCA),"국제회의, 전시",문화/예술/디자인/콘텐츠/영상/광고,문화체육관광부(MCST),한국콘텐츠진흥원(KOCCA),,
171,컨벤션 사업부,컨벤션 2팀 ,"2021 한국관광박람회(KITE, Korea International Travel Expo 2021)",2021,"2021-06-29, 2021-06-29","2021-07-13, 2021-07-13",한국관광공사(KTO),"기타회의, 전시",관광/레저/스포츠,한국관광공사(KTO),한국관광공사(KTO),,
172,컨벤션 사업부,컨벤션 3팀,P4G 정상회의 ,2021,"2021-05-30, 2021-05-30","2021-05-31, 2021-05-31",2021 P4G 정상회의 준비기획단,국제회의,에너지/환경,2021 P4G 정상회의 준비기획단,2021 P4G 정상회의 준비기획단,,
173,E&E 사업부,이벤트&엑스포 2팀,P4G 정상회의 환경부 세션,2021,"2021-05-24, 2021-05-24","2021-05-31, 2021-05-31",환경부(ME),국제회의,에너지/환경,환경부(ME),환경부(ME),,
174,컨벤션 사업부,컨벤션 3팀,한국-덴마크 화상양자회담,2021,"2021-05-30, 2021-05-30","2021-05-30, 2021-05-30",외교부(MOFA),국제회의,에너지/환경,외교부(MOFA),외교부(MOFA),,
175,컨벤션 사업부,컨벤션 3팀,2050탄소중립위원회출범식 및 제1차 회의,2021,"2021-05-29, 2021-05-29","2021-05-29, 2021-05-29",국무조정실 탄소중립추진준비단,기타회의,에너지/환경,국무조정실 탄소중립추진준비단,국무조정실 탄소중립추진준비단,,
176,E&E 사업부,전시 2팀,제13회 광주비엔날레 (행사장 운영 및 관리),2021,2021-04-01,2021-05-09,광주비엔날레,국제이벤트,문화/예술/디자인/콘텐츠/영상/광고,광주비엔날레,광주비엔날레,,
177,컨벤션 사업부,컨벤션 1팀,제1차 IOC조정위원회(화상회의),2021,"2021-03-30, 2021-03-30","2021-03-31, 2021-03-31",2024 강원 동계청소년올림픽대회 조직위원회,기타회의,관광/레저/스포츠,2024 강원 동계청소년올림픽대회 조직위원회,2024 강원 동계청소년올림픽대회 조직위원회,,
178,E&E 사업부,전시 2팀,인천 스마트관광도시 홍보 기본계획,2021,2021-01-27,2021-02-16,한국관광공사(KTO),연구용역,관광/레저/스포츠,한국관광공사(KTO),한국관광공사(KTO),,
179,컨벤션 사업부,컨벤션 1팀,2021 평창평화포럼,2021,"2021-02-07, 2021-02-07","2021-02-09, 2021-02-09",2018평창기념재단,국제회의,인문/사회/경제/역사/법/남북,"평창군, 한국국제협력단(KOICA), 강원특별자치도",2018평창기념재단,,
180,E&E 사업부,전시 1팀,중구 영유아 신체놀이공간 놀이구조물 설계및 제작_하티붕붕,2021,2020-10-05,2021-01-31,중구,공간사업(놀이터),건설/건축/인테리어,중구,중구,,
181,컨벤션 사업부,컨벤션 3팀,2021 세계경제포럼(다보스포럼) 한국정상 특별연설  ,2021,"2021-01-27, 2021-01-27","2021-01-27, 2021-01-27",외교부(MOFA),기타회의,인문/사회/경제/역사/법/남북,외교부(MOFA),외교부(MOFA),,
