KINTEX 일정,,,,,,,
,,,,,,,
번호,카테고리,행사명,행사기간,임대장소,주최기관,주관기관,홈페이지
1,이벤트,코리아보드게임즈 패밀리 파크,2026.01.16~2026.01.25,전시홀 10A,코리아보드게임즈,코리아보드게임즈,https://www.koreaboardgames.com/product/detail?prdCd=PD20250004779MPE
2,전시회,마이펫페어 2026 일산 Part1,2026.01.16~2026.01.18,전시홀 7,주식회사 마이팀페어스,,https://www.mypetfair.co.kr/
3,전시회,2026 카페디저트페어,2026.01.22~2026.01.25,전시홀 7A,유아림,,
4,,쿠키런: 킹덤 5주년 팬 페스티벌,2026.01.31~2026.02.01,"전시홀 7,전시홀 8",데브시스터즈,,
5,전시회,2026 코리아빌드위크,2026.02.04~2026.02.07,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5",㈜메쎄이상,, https://koreabuild.co.kr/kintex/
6,,정동원 Fan concert “오늘을 건너 내일 다시 만나는 길”,2026.02.13~2026.02.13,전시홀 1,쇼플레이,,https://tickets.interpark.com/goods/26000142
7,,2025-26 임재범 40주년 전국투어 콘서트 &ndash; 일산,2026.02.21~2026.02.21,전시홀 10A,스포엔터테인먼트,,https://www.ticketlink.co.kr/product/60177
8,,2025-26 박서진 전국투어 콘서트 [MY NAME IS SEOJIN]-일산,2026.02.21~2026.02.22,전시홀 7A,"장구의신 컴퍼니, ㈜제이제이팩토리",㈜제이제이팩토리,https://www.ticketlink.co.kr/product/60943
9,,제52회 맘앤베이비엑스포,2026.02.26~2026.03.01,전시홀 7,㈜유아림,㈜유아림,www.momnbabyexpo.co.kr
10,,2025-26 엠씨더맥스 이수 콘서트,2026.02.28~2026.02.28,전시홀 2,㈜공연마루,,https://tickets.interpark.com/goods/25016414
11,,2026 서울경기 밀리언쇼 우수중소기업&농특산품박람회,2026.03.05~2026.03.09,전시홀 1A,㈜마이스좋은공간,,https://www.millionshow.kr/
12,,2026 경기국제보트쇼,2026.03.06~2026.03.08,"전시홀 3,전시홀 4,전시홀 5",주식회사 킨텍스,"킨텍스, 코트라, 한국해양레저산업협회, 한국마리나협회",www.kibs.com
13,,2026 한국국제낚시박람회,2026.03.06~2026.03.08,전시홀 2,(사)한국낚시협회,㈜광륭,www.kofish.kr
14,,2026 캠핑앤피크닉페어,2026.03.06~2026.03.08,"전시홀 7,전시홀 8",㈜가족사랑전람,,https://www.campingfair.co.kr/
15,,2026 고양 가구엑스포 & 홈앤리빙 더쇼 & 큐브 현대미술展,2026.03.12~2026.03.15,전시홀 10,주식회사 비스컨애드,코리아엑스포,koreaxpo.com
16,,2026 펫쇼코리아(상),2026.03.13~2026.03.15,전시홀 7,(주)미래전람,,https://www.pet-show.co.kr/
17,,센트럴 씨 첫 단독 내한공연,2026.03.14~2026.03.14,전시홀 9,(주)라이브네이션코리아,,https://tickets.interpark.com/goods/25018689
18,,코믹월드 330 일산,2026.03.14~2026.03.15,"전시홀 3,전시홀 4,전시홀 5",(주)코믹월드,,
19,,오토모티브 테스팅 엑스포 2026,2026.03.18~2026.03.20,전시홀 10B,UKI Media and Events,,https://www.testingexpo-korea.com/
20,,제25회 세계 보안 엑스포 & 제14회 전자정부 정보보호 솔루션 페어,2026.03.18~2026.03.20,"전시홀 3,전시홀 4,전시홀 5","과학기술정보통신부(SECON),  행정안전부(eGISEC)"," SECON, eGISEC 조직위원회, 인포마마켓비엔㈜, 인포마마켓한국㈜, ㈜더비엔"," https://www.seconexpo.com/2026/kor/main.asp,  https://www.egisec.org/2026/kor/index.html"
21,,아크 월드 투어 2025-2026 파이널,2026.03.20~2026.03.22,Hall 6,,,https://www.arcsystemworks.asia/awt2025/kr/index.html
22,,더 글로우 2026,2026.03.21~2026.03.22,"전시홀 7A,전시홀 7B,전시홀 9A,전시홀 9B,전시홀 10A,전시홀 8",주식회사 원더로크,,https://theglowseoul.com/
23,,코리아 나라장터 엑스포 2026,2026.03.25~2026.03.27,"전시홀 2B,전시홀 3,전시홀 4,전시홀 5","조달청, 경기도, 고양특례시","정부조달기술진흥협회, 킨텍스, 정부조달마스협회, 정부조달수출진흥협회, 동반성장위원회",www.koppex.com
24,,국제물류산업대전,2026.03.31~2026.04.03,전시홀 9B,한국통합물류협회 / ㈜케이와이엑스포,,www.koreamat.org
25,,국제콜드체인산업전,2026.03.31~2026.04.03,전시홀 10A,(사)한국콜드체인협회 / ㈜케이와이엑스포,,www.koreacoldchain.com
26,,국제다크팩토리산업전,2026.03.31~2026.04.03,전시홀 10B,다크팩토리 / ㈜케이와이엑스포,,www.darkfactory.co.kr
27,,국제연구&middot;실험 및 첨단분석장비전,2026.03.31~2026.04.03,전시홀 7A,㈜경연전람 / 사이언스21,,www.korealab.org
28,,국제의약품&middot;바이오산업전,2026.03.31~2026.04.03,전시홀 7A,㈜경연전람,,www.koreapharm.org
29,,국제화학장치&middot;공정기술전,2026.03.31~2026.04.03,전시홀 4A,아이유뉴스㈜ / ㈜케이와이엑스포,,www.koreachem.org
30,,국제제약&middot;바이오&middot;화장품기술전,2026.03.31~2026.04.03,"전시홀 4B,전시홀 5",㈜경연전람,,www.cophex.com
31,,제 2회 ESG 지속가능패키징페어,2026.03.31~2026.04.03,전시홀 1A,"월간포장, 경연전람",경연전람,www.esgpack.kr
32,,코스메틱 인사이드 코리아,2026.03.31~2026.04.03,전시홀 7A,㈜경연전람,,www.cikorea.org
33,,제 25회 국제포장기자재전,2026.03.31~2026.04.03,"전시홀 1B,전시홀 2,전시홀 3","(사)한국포장기계협회, 월간포장,  경연전람",경연전람,www.koreapack.org
34,,서울국제생산제조기술전(SIMTOS 2026),2026.04.13~2026.04.17,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5,전시홀 7,전시홀 8,전시홀 9,전시홀 10",한국공작기계산업협회,,simtos.org
35,,2026 대한민국 과학축제 in 경기 (with 대한민국 과학기술대전),2026.04.24~2026.04.26,전시홀 4,과학기술정보통신부,"한국과학창의재단, 한국연구재단, (사)과학문화민간협의회",https://scienceall.onnetsoft.co.kr/sciencefestival2026
36,,2026 냥냥펀치 캣쇼 일산,2026.04.24~2026.04.26,전시홀 7B,(주)미래전람,,https://cat-show.co.kr/
37,,2026 AI Co-Scientist Challenge Korea 시상식 및 컨퍼런스,2026.04.24~2026.04.25,전시홀 5A,과학기술정보통신부,한국연구재단,https://events.aifactory.page/2026AICSCK/about
38,,겸손은힘들다 LIVE TOUR,2026.04.25~2026.04.25,전시홀 1,티클모아,"라이브랜드, 이엑스팀",
39,,포레스텔라 정규 4집 투어 콘서트 [THE LEGACY: SYMPHONY] In Ilsan,2026.04.25~2026.04.26,전시홀 10B,주식회사 스프링이엔티,스프링이엔티,
40,,"2026년 제17기 사회리더 대학생 멘토링 발대식		",2026.04.25~2026.04.25,전시홀 6,한국장학재단,,
41,,"2026년 국군장병 취업박람회		",2026.04.28~2026.04.29,"전시홀 7A,전시홀 7B",국방부 / 국방전직교육원,,https://jobfair.moti.or.kr/
42,,원피스 이모션,2026.05.01~2026.05.27,Hall 6,(주)에렌델웍스,,https://onepiece-emotion-kr.com/
43,,힙합플레이야 페스티벌 2026,2026.05.02~2026.05.02,"전시홀 10,전시홀 9",힙합플레이야 페스티벌,,
44,,제70회 MBC건축박람회 외(통합명칭),2026.05.07~2026.05.10,"전시홀 3A,전시홀 4,전시홀 5",(주)동아전람,(주)동아전람,www.dong-afairs.co.kr
45,,메가쇼 & 트래블쇼 2026 시즌 1,2026.05.14~2026.05.17,"전시홀 4,전시홀 5",메가쇼,,www.megashow.co.kr
46,,2026 코베 베이비페어&유아교육전 (5월),2026.05.14~2026.05.17,"전시홀 10A-1,전시홀 10B-1",주식회사 메쎄이상,주식회사 메쎄이상,www.cobe.co.kr
47,,2026 이승윤 콘서트 [밖],2026.05.16~2026.05.17,옥외,"마름모, 주식회사 놀유니버스",주식회사 원더로크,
48,,2026 플레이엑스포,2026.05.21~2026.05.24,"전시홀 2A,전시홀 3A,전시홀 3B,전시홀 4A,전시홀 4B,전시홀 5A,전시홀 5B,전시홀 5B-2",주식회사 킨텍스,"킨텍스, 경기콘텐츠진흥원",https://www.playx4.or.kr/
49,전시회,2026 국제아웃도어캠핑&레포츠페스티벌(5월),2026.05.23~2026.05.25,"전시홀 7,전시홀 8",주식회사 메쎄이상,,www.caf.co.kr
50,,일러스타 페스 11,2026.05.23~2026.05.24,"전시홀 9B,전시홀 10A",스타라이크 주식회사,시나리움 아카데미,https://illustar.net/
51,,2026 메가주 시즌1,2026.05.29~2026.05.31,"전시홀 7,전시홀 8",(사)한국펫사료협회,주식회사 메쎄이상,https://megazoo.co.kr/
52,,다니엘 시저 내한공연,2026.05.29~2026.05.29,"전시홀 10A,전시홀 10B",주식회사 라이브네이션코리아,,https://tickets.interpark.com/goods/26005182
53,,"2026 박지훈 팬콘서트 [RE:FLECT]		",2026.05.30~2026.05.31,전시홀 1,"와이와이 엔터테인먼트, 커넥트케이",,
54,,2026 마이프차 프랜차이즈 창업박람회 시즌 1,2026.06.04~2026.06.07,전시홀 10B,(주)마이프차,(주)미래전람,http://www.myfcha-festa.co.kr/
55,전시회,2026 카페&베이커리페어 시즌1,2026.06.04~2026.06.07,전시홀 10A,㈜미래전람,,https://www.cafenbakeryfair.com
56,,레이베이 내한공연,2026.06.07~2026.06.07,전시홀 9B,,,
57,,2026 서울국제식품산업대전,2026.06.09~2026.06.12,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5,전시홀 7,전시홀 8",주식회사 킨텍스,"코트라, 킨텍스, 인포마마켓",https://seoulfood.kotra.or.kr/
58,,"2026 빌킨 내한공연 “2026 Billkin Feelquency Tour” in Seoul, South Korea",2026.06.20~2026.06.20,"전시홀 5A,전시홀 5B",Damai  Holdings  Limited,주식회사오엔기획,https://ticket.melon.com/performance/index.htm?prodId=213134
59,,2026 마이케이 페스타,2026.06.25~2026.06.28,"전시홀 1,전시홀 2,전시홀 3",문화체육관광부,한국국제문화교류진흥원,https://www.mykfesta.com/
60,,2026년 제5회 킨텍스 캠핑페스타,2026.07.03~2026.07.05,전시홀 2,주식회사 전람윤,주식회사 전람윤,www.campingfesta.com 
61,전시회,대한민국 국제 관광박람회,2026.07.03~2026.07.05,전시홀 10,대한민국 국제 관광박람회 조직위원회,(주)한국전시산업원,http://www.ktourismshow.com/
62,,KDTEX 2026,2026.07.17~2026.07.19,"전시홀 7B,전시홀 8A,전시홀 8B",(사)대한치과기공사협회,,http://kdtex.org/
63,,2026 펫쇼코리아(하),2026.07.24~2026.07.26,"전시홀 10A,전시홀 10B-1",주식회사 미래전람,,https://www.pet-show.co.kr/main
64,,2026 코베 베이비페어&유아교육전,2026.08.06~2026.08.09,"전시홀 7A-1,전시홀 7B-1",주식회사 메쎄이상,(주)메쎄이상,https://cobe.co.kr/__kintex.php
65,,2026 생활낚시박람회,2026.08.21~2026.08.23,전시홀 10B,(주)서울메쎄,,
66,,한국국제가구 및 인테리어산업대전 (코펀),2026.08.27~2026.08.30,"전시홀 7,전시홀 8",대한가구산업협동조합연합회,,www.kofurn.or.kr
67,,"back number ""Grateful Yesterdays Tour 2026"" in Seoul",2026.09.07~2026.09.13,"전시홀 9A,전시홀 9,전시홀 9B-1,전시홀 9B-2",주식회사 엠피엠지,"더 볼트, 민트페이퍼",https://ticket.yes24.com/Special/58079
68,,2026 코베 베이비페어&유아교육전,2026.10.08~2026.10.11,"전시홀 10A-1,전시홀 10B-1",주식회사 메쎄이상,주식회사 메쎄이상,https://cobe.co.kr/__kintex.php
69,,2026 국제아웃도어캠핑&레포츠페스티벌 더 파이널 시즌 PART 1,2026.10.09~2026.10.11,"전시홀 7,전시홀 8",주식회사 메쎄이상,,www.caf.co.kr
70,,2026 도시안전기술박람회,2026.10.14~2026.10.16,전시홀 1,주식회사 킨텍스,"킨텍스, 마이센터",
71,,2026 한국건설·안전박람회,2026.10.14~2026.10.16,전시홀 2,주식회사 킨텍스,"킨텍스, 마이센터",https://k-consafetyexpo.com/
72,,2026 TEX+VISION,2026.10.21~2026.10.23,전시홀 10,"주식회사 킨텍스, 서울메쎄","코트라, 한국무역협회",www.texvision.co.kr
73,,2026 메가주 일산 시즌2,2026.11.20~2026.11.22,"전시홀 2,전시홀 3,전시홀 4,전시홀 5",주식회사 메쎄이상,(주)메쎄이상,https://megazoo.co.kr/
74,,2026 국제아웃도어캠핑&레포츠페스티벌 더 파이널 시즌 PART 2,2026.11.27~2026.11.29,"전시홀 8A,전시홀 7",주식회사 메쎄이상,,www.caf.co.kr
